; --- TAGS ---
; reminder: this is comment starting with a ; - in case you need to flag changes, etc...
; internal formatting is a mix of Markdown plus html (for <br> etc)
; **bold**
; _italic_
; [internal link text](#sometag)
; [external link text](http://www.gunnerkrigg.com)
113	A number that appears in many places in the Court [_{W}_](http://gunnerkrigg.wikia.com/wiki/113)
Aata	A short, wide, male security guard of the Court alongside [Shell](#shell) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Aata)
Abacus	An ancient calculation aid
Achewater	[Anwyn](#anwyn) intoxicant, perhaps named for how you feel afterwards
Adam	A boy with rashes; owner, and victim, of [Hetty](#hetty)
AdminBot	A secretarial [robot](#robots) who sits at the Admin desk at [RobotHQ](#robothq) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Administrator_Robot)
Agni	Hindu [fire](#fire) god; [psychopomp](#psychopomps) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Psychopomps#Agni)
AlchemyChart	An alchemical chart
Aly	Alistair [Kershaw](#kershaws); became a bird and went to the [Forest](#gillitie) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Alistair_Kershaw)
AlyShirt	A shirt belonging to [Aly](#aly), which [Kat](#kat) now owns
Angel	What [robots](#robots) call [Kat](#kat)
AnimalCells	the Court's large animal holding cells
AnimalLab	a Court research lab [_{W}_](http://gunnerkrigg.wikia.com/wiki/Animal_Lab)
Anja	Anja Donlan, [Kat's](#kat) mother; Roma origin but lived mostly in Spain [_{W}_](http://gunnerkrigg.wikia.com/wiki/Anja)
Ankou	Breton grim reaper; [psychopomp](#psychopomps)[_{W}_](http://gunnerkrigg.wikia.com/wiki/Psychopomps#Ankou)
Annan	Annan Waters, a wide river in a deep gorge which separates [Gunnerkrigg Court](#court) from [Gillitie Wood](#gillitie), the 'forest' [_{W}_](http://gunnerkrigg.wikia.com/wiki/Annan_Waters)
Annie 	Antimony Carver, our protagonist ("Fire Head Girl") [_{W}_](http://gunnerkrigg.wikia.com/wiki/Antimony_Carver)
AnnieCut	The cut on [Annie's](#annie) ethereal face from [Jeanne's](#jeanne) [sword](#sword)
AnnieJumper	[Annie's](#annie) original school jumper
AntiGrav	An anti-gravity generator that [Kat](#kat) makes for a science fair, and converts to a "ship" (flier) later
AntimonySymbol	The alchemical symbol for antimony; associated with [Annie](#annie) and [Surma](#surma) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Antimony_(alchemy))
AntlerFae	'that guy' – big nose, sandy brown hair, can haz antlers
Anwyn 	could be described as tree elves but they don't call themselves that [_{W}_](http://gunnerkrigg.wikia.com/wiki/Anwyn)
Archery 	Fun with bows and arrows!
Argument	Somewhere between a disagreement and a fight
Armour 	protective plates and other such wearable items
Armoury 	Place where lots of weapons are stored
Arsenic 	A highly poisonous metalloid [_{W}_](http://gunnerkrigg.wikia.com/wiki/Arsenic_(alchemy))
Artilleryman	present at the [founding](#founding), friend of [Steadman](#steadman) the archer
Axe 	Often used to chop wood
BadgeBot	Robot with [Court Staff Symbol](#courtstaffsymbol), audio-visual surveillance mast in its head, and parkour skill similar to [RobotS13](#robots13)
BadgerFae	'him too' – white hair, two black stripes, former badger
BakingDistraction	Otherwise known as [Plan Theta](#plantheta); Cunningly devised to distract others while sneaking around
Basil 	Minotaur [_{W}_](http://gunnerkrigg.wikia.com/wiki/Basil)
Bats 	The animal kind.
Beacon 	Safety tool given to [Annie](#annie), can summon [Eglamore](#eglamore) within 5 seconds; makes a [Valknut](#valknut) teleport when activated, much like [Brinnie's](#brinnie) teleport [_{W}_](http://gunnerkrigg.wikia.com/wiki/Safety_beacon)
Becky 	Becky Ground, blonde haired student -- name suspected to be a pun as she has never said anything [_{W}_](http://gunnerkrigg.wikia.com/wiki/Becky_Ground)
Betty 	had a crush on her brother [Nigel's](#nigel) friend [Morty](#mort), WWII
Bind 	[Etheric](#etherics) binding, hold or constraint hoodoo
BioLimb 	[Kat's](#kat) grown robot parts project, blue/purple synthetic flesh
Bip 	[Parley's](#parley) teleportation. May be accompanied by BARGE
Birds 	Birds have wings and feathers, [Kat](#kat) and [Paz](#paz) are both fond of them
Birmingham	See [Zimmingham](#zimmingham)
BismuthSymbol	The alchemical symbol for bismuth; associated with the Court and its founding via the [Seed Bismuth](#seedbismuth) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Bismuth_(alchemy))
Blackboard	Classroom surface for writing on with chalk sticks, _a.k.a._ chalkboard if not black
BlackPen	A black marker pen used to draw faces. Used by the [Robot King](#robotking)
BlinkerStone	[Etheric](#etherics) lens device [_{W}_](http://gunnerkrigg.wikia.com/wiki/Blinker_stone)
Blood 	Circulatory fluid, supposed to be internal
BLOOM	a watery explosion noise
Blue 	A fairy obsessed with hair which goes up; friends with [Red](#red) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Blue)
BlueSmoke	A failure mode of [BioLimb](#biolimb) flesh
Blush 	Happy/embarrassed/emotional
BlushFae	'her too' – dark pink hair, two rosy cheeks (likes to "wang tomatoes?") [_{W}_](http://gunnerkrigg.wikia.com/wiki/Category:Fairies)
Boat 	A vehicle for crossing [water](#water)
Bob 	Bob Sutton, a gardener/maintainer of artificial habitats and keeper of [Young's Park](#youngspark) with his wife, [Marcia](#marcia) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Bob)
Bobby 	A [robot](#robots) who works with [Paz](#paz) at the [Animal Lab](#animallab) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Bobby)
Bobeyes 	A Magpie who competes with [CityFace](#cityface) for a bagel! [_{W}_](http://gunnerkrigg.wikia.com/wiki/Bobeyes)
Bones 	Calcified weight bearing structures in the body of vertebrates forming an endo-skeleton; represent death; includes skulls
Bonus 	Extra pages at the end of the chapter [_{W}_](http://gunnerkrigg.wikia.com/wiki/Bonus_pages)
Boots 	Made for walking
Boxbot 	[A robot](#robots). [Terrible](#terrible). Not as good as [Robox](#robox) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Boxbot)
